Date,SKU,MAE
2025-07-05,SOFT-002,0.9619
2025-07-05,SOFT-001,1.319
2025-07-05,AUTO-001,1.3
2025-07-05,TOYS-002,1.0667
2025-07-05,MUSC-002,0.8476
2025-07-05,BEAU-003,1.5333
2025-07-05,GROC-002,1.9571
2025-07-05,GROC-001,1.6381
2025-07-05,CLTH-003,0.9714
2025-07-05,GRDN-003,1.0429
2025-07-05,GRDN-002,1.8762
2025-07-05,DIY0-001,1.3524
2025-07-05,GROC-003,2.0333
2025-07-05,GRDN-001,1.2
2025-07-05,FURN-002,1.2143
2025-07-05,DIY0-002,1.7381
2025-07-05,FURN-001,1.4857
2025-07-05,ELEC-003,0.881
2025-07-05,DIY0-003,1.7381
2025-07-05,ELEC-002,0.7857
2025-07-05,FURN-003,1.4571
2025-07-05,MUSC-001,1.4857
2025-07-05,CLTH-002,1.3048
2025-07-05,HLTH-002,1.3143
2025-07-05,MOVI-003,1.7
2025-07-05,MOVI-002,1.7381
2025-07-05,BOOK-001,1.2571
2025-07-05,MOVI-001,1.2714
2025-07-05,JWLY-003,1.3905
2025-07-05,JWLY-002,1.4429
2025-07-05,HLTH-001,2.1714
2025-07-05,BOOK-002,1.3476
2025-07-05,HOMK-003,1.7714
2025-07-05,BOOK-003,1.3286
2025-07-05,HOMK-002,1.4429
2025-07-05,HOMK-001,0.7333
2025-07-05,HLTH-003,1.119
2025-07-05,JWLY-001,1.1381
2025-07-05,TOYS-003,1.3286
2025-07-05,ELEC-001,1.0
2025-07-06,APPL-001,1.6667
2025-07-06,PETS-001,1.7429
2025-07-06,PCAR-003,1.1286
2025-07-06,PCAR-002,1.8143
2025-07-06,BABY-002,1.3333
2025-07-06,PCAR-001,1.8571
2025-07-06,OUTD-003,1.3
2025-07-06,BABY-001,1.8714
2025-07-06,BABY-003,1.5
2025-07-06,OUTD-001,2.1048
2025-07-06,OFFC-003,1.2857
2025-07-06,BEAU-001,1.6286
2025-07-06,OFFC-002,1.2857
2025-07-06,OFFC-001,1.6571
2025-07-06,BEAU-002,1.0905
2025-07-06,OUTD-002,1.5905
2025-07-06,MUSC-003,1.1762
2025-07-06,PETS-002,1.6857
2025-07-06,AUTO-003,1.7857
2025-07-06,APPL-002,1.4333
2025-07-06,TOYS-001,1.2571
2025-07-06,TOOL-003,1.4714
2025-07-06,APPL-003,0.8429
2025-07-06,TOOL-002,1.3
2025-07-06,TOOL-001,1.7
2025-07-06,PETS-003,2.181
2025-07-06,SPRT-003,1.919
2025-07-06,SPRT-002,1.0333
2025-07-06,SPRT-001,1.4571
2025-07-06,AUTO-002,1.3333
2025-07-06,SOFT-003,1.4048
2025-07-06,SOFT-002,1.2571
2025-07-06,SOFT-001,1.181
2025-07-06,AUTO-001,1.4381
2025-07-06,TOYS-002,1.3286
2025-07-06,MUSC-002,0.9286
2025-07-06,BEAU-003,1.5714
2025-07-06,GROC-002,2.0
2025-07-06,GROC-001,1.3476
2025-07-06,CLTH-003,1.119
2025-07-06,GRDN-003,1.1
2025-07-06,GRDN-002,1.8762
2025-07-06,DIY0-001,1.0714
2025-07-06,GROC-003,2.2524
2025-07-06,GRDN-001,1.1857
2025-07-06,FURN-002,1.1429
2025-07-06,DIY0-002,1.581
2025-07-06,FURN-001,1.4095
2025-07-06,ELEC-003,1.1048
2025-07-06,DIY0-003,1.5905
2025-07-06,ELEC-002,0.9
2025-07-06,FURN-003,1.5429
2025-07-06,MUSC-001,1.4286
2025-07-06,CLTH-002,1.0286
2025-07-06,HLTH-002,1.5238
2025-07-06,MOVI-003,1.7095
2025-07-06,MOVI-002,1.8714
2025-07-06,BOOK-001,1.2429
2025-07-06,MOVI-001,1.0571
2025-07-06,JWLY-003,1.5333
2025-07-06,JWLY-002,1.1429
2025-07-06,HLTH-001,2.4143
2025-07-06,BOOK-002,1.481
2025-07-06,HOMK-003,1.6714
2025-07-06,BOOK-003,1.4762
2025-07-06,HOMK-002,1.4333
2025-07-06,HOMK-001,0.8619
2025-07-06,HLTH-003,0.9762
2025-07-06,JWLY-001,1.0143
2025-07-06,TOYS-003,1.4143
2025-07-06,ELEC-001,1.1429
2025-07-07,APPL-001,1.9143
2025-07-07,PETS-001,1.7476
2025-07-07,PCAR-003,0.8429
2025-07-07,PCAR-002,1.6429
2025-07-07,BABY-002,1.3429
2025-07-07,PCAR-001,1.8143
2025-07-07,OUTD-003,1.5
2025-07-07,BABY-001,1.819
2025-07-07,BABY-003,1.7476
2025-07-07,OUTD-001,1.819
2025-07-07,OFFC-003,0.9619
